event_match_number,date,event_name,season,team_type,gender,match_type,overs,balls_per_over,Team1,Team2,toss_decision,toss_winner,venue,city,outcome_type,outcome_by_wickets,outcome_by_runs,outcome_winner,outcome_method,outcome_result,player_of_match,Umpire1,Umpire2,officials_match_referees,officials_reserve_umpires,officials_tv_umpires
33,2023-04-23,Indian Premier League,2023,club,male,T20,20,6,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,Runs,,49.0,Chennai Super Kings,,,AM Rahane,Nitin Menon,Tapan Sharma,Shakti Singh,['A Bengeri'],['VK Sharma']
37,2009-05-09,Indian Premier League,2009,club,male,T20,20,6,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,De Beers Diamond Oval,Kimberley,Wickets,7.0,,Chennai Super Kings,,,S Badrinath,GAV Baxter,HDPK Dharmasena,J Srinath,['KH Hurter'],['AM Saheba']
46,2021-10-02,Indian Premier League,2021,club,male,T20,20,6,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,Sharjah Cricket Stadium,Sharjah,Wickets,4.0,,Delhi Capitals,,,AR Patel,AK Chaudhary,MA Gough,J Srinath,['Navdeep Singh'],['Nitin Menon']
Qualifier 1,2015-05-19,Indian Premier League,2015,club,male,T20,20,6,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,Mumbai,Runs,,25.0,Mumbai Indians,,,KA Pollard,HDPK Dharmasena,RK Illingworth,RS Madugalle,['CK Nandan'],['VA Kulkarni']
4,2008-05-17,Indian Premier League,2007/08,club,male,T20,20,6,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,Feroz Shah Kotla,Delhi,Runs,,6.0,Kings XI Punjab,D/L,,DPMD Jayawardene,AV Jayaprakash,RE Koertzen,CH Lloyd,['AK Chaudhary'],['BG Jerling']
61,2011-05-15,Indian Premier League,2011,club,male,T20,20,6,Kochi Tuskers Kerala,Rajasthan Royals,field,Kochi Tuskers Kerala,Holkar Cricket Stadium,Indore,Wickets,8.0,,Kochi Tuskers Kerala,,,BJ Hodge,PR Reiffel,RJ Tucker,RS Mahanama,['NA Patwardhan'],['S Asnani']
67,2012-05-17,Indian Premier League,2012,club,male,T20,20,6,Delhi Daredevils,Royal Challengers Bangalore,field,Delhi Daredevils,Feroz Shah Kotla,Delhi,Runs,,21.0,Royal Challengers Bangalore,,,CH Gayle,HDPK Dharmasena,C Shamshuddin,AJ Pycroft,['R Risodkar'],['BNJ Oxenford']
3,2019-03-24,Indian Premier League,2019,club,male,T20,20,6,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,Mumbai,Runs,,37.0,Delhi Capitals,,,RR Pant,S Ravi,YC Barde,M Nayyar,['BK Ravi'],['CK Nandan']
4,2022-04-27,Indian Premier League,2022,club,male,T20,20,6,Sunrisers Hyderabad,Gujarat Titans,field,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,Wickets,5.0,,Gujarat Titans,,,Umran Malik,CB Gaffaney,Navdeep Singh,Shakti Singh,['GR Sadashiv Iyer'],['J Madanagopal']
1,2016-04-17,Indian Premier League,2016,club,male,T20,20,6,Kings XI Punjab,Rising Pune Supergiants,bat,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Wickets,6.0,,Kings XI Punjab,,,M Vohra,S Ravi,C Shamshuddin,M Nayyar,['Navdeep Singh'],['Nitin Menon']
23,2022-04-13,Indian Premier League,2022,club,male,T20,20,6,Punjab Kings,Mumbai Indians,field,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Pune,Runs,,12.0,Punjab Kings,,,MA Agarwal,BNJ Oxenford,UV Gandhe,V Narayan Kutty,['MV Saidharshan Kumar'],['KN Ananthapadmanabhan']
8,2008-04-23,Indian Premier League,2007/08,club,male,T20,20,6,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Runs,,6.0,Chennai Super Kings,,,ML Hayden,DJ Harper,GA Pratapkumar,FM Engineer,['S Ravi'],['BF Bowden']
1,2014-04-23,Indian Premier League,2014,club,male,T20,20,6,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,Dubai International Cricket Stadium,,Runs,,7.0,Chennai Super Kings,,,RA Jadeja,HDPK Dharmasena,RK Illingworth,GF Labrooy,['K Srinivasan'],['C Shamshuddin']
6,2009-04-21,Indian Premier League,2009,club,male,T20,20,6,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,Kingsmead,Durban,Runs,,11.0,Kolkata Knight Riders,D/L,,CH Gayle,DJ Harper,SD Ranade,D Govindjee,['EC Hendrikse'],['TH Wijewardene']
19,2012-04-16,Indian Premier League,2012,club,male,T20,20,6,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,Wankhede Stadium,Mumbai,Wickets,7.0,,Delhi Daredevils,,,S Nadeem,BF Bowden,SK Tarapore,RS Madugalle,['PG Pathak'],['VA Kulkarni']
44,2022-04-30,Indian Premier League,2022,club,male,T20,20,6,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,Wickets,5.0,,Mumbai Indians,,,SA Yadav,BNJ Oxenford,YC Barde,M Nayyar,['Tapan Sharma'],['Navdeep Singh']
2,2014-04-17,Indian Premier League,2014,club,male,T20,20,6,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sharjah Cricket Stadium,,Wickets,8.0,,Royal Challengers Bangalore,,,YS Chahal,Aleem Dar,S Ravi,GF Labrooy,['K Bharatan'],['VA Kulkarni']
1,2009-04-23,Indian Premier League,2009,club,male,T20,20,6,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,Newlands,Cape Town,,,,,,tie,YK Pathan,MR Benson,M Erasmus,GR Viswanath,['EC Hendrikse'],['AM Saheba']
22,2011-04-20,Indian Premier League,2011,club,male,T20,20,6,Kolkata Knight Riders,Kochi Tuskers Kerala,field,Kolkata Knight Riders,Eden Gardens,Kolkata,Runs,,6.0,Kochi Tuskers Kerala,,,DPMD Jayawardene,Aleem Dar,RB Tiffin,AJ Pycroft,['S Das'],['SS Hazare']
32,2015-05-01,Indian Premier League,2015,club,male,T20,20,6,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,Wankhede Stadium,Mumbai,Runs,,8.0,Mumbai Indians,,,AT Rayudu,HDPK Dharmasena,CK Nandan,RS Mahanama,['Nitin Menon'],['CB Gaffaney']
27,2012-04-21,Indian Premier League,2012,club,male,T20,20,6,Delhi Daredevils,Pune Warriors,field,Delhi Daredevils,Feroz Shah Kotla,Delhi,Runs,,20.0,Pune Warriors,,,SC Ganguly,Asad Rauf,S Das,GF Labrooy,['S Dua'],['S Asnani']
21,2009-04-30,Indian Premier League,2009,club,male,T20,20,6,Deccan Chargers,Delhi Daredevils,field,Delhi Daredevils,SuperSport Park,Centurion,Wickets,6.0,,Delhi Daredevils,,,DP Nannes,GAV Baxter,AM Saheba,GR Viswanath,['JD Cloete'],['RE Koertzen']
37,2023-04-27,Indian Premier League,2023,club,male,T20,20,6,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,Runs,,32.0,Rajasthan Royals,,,YBK Jaiswal,A Totre,YC Barde,M Nayyar,['Mohamad Rafi'],['RJ Tucker']
49,2015-05-12,Indian Premier League,2015,club,male,T20,20,6,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Raipur,Wickets,6.0,,Delhi Daredevils,,,Z Khan,RK Illingworth,VA Kulkarni,RS Madugalle,['RM Deshpande'],['S Ravi']
3,2021-09-19,Indian Premier League,2021,club,male,T20,20,6,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,Runs,,20.0,Chennai Super Kings,,,RD Gaikwad,Nitin Menon,RK Illingworth,J Srinath,['AY Dandekar'],['AK Chaudhary']
21,2008-05-03,Indian Premier League,2007/08,club,male,T20,20,6,Royal Challengers Bangalore,Deccan Chargers,field,Deccan Chargers,M Chinnaswamy Stadium,Bangalore,Runs,,3.0,Royal Challengers Bangalore,,,P Kumar,BR Doctrove,SL Shastri,Talat Ali,['CK Nandan'],['SK Tarapore']
59,2012-05-12,Indian Premier League,2012,club,male,T20,20,6,Chennai Super Kings,Delhi Daredevils,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Wickets,9.0,,Chennai Super Kings,,,BW Hilfenhaus,S Das,BR Doctrove,GF Labrooy,['K Srinivasan'],['S Asnani']
12,2016-04-18,Indian Premier League,2016,club,male,T20,20,6,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Wickets,7.0,,Sunrisers Hyderabad,,,DA Warner,HDPK Dharmasena,VK Sharma,J Srinath,['A Deshmukh'],['KN Ananthapadmanabhan']
7,2022-03-31,Indian Premier League,2022,club,male,T20,20,6,Chennai Super Kings,Lucknow Super Giants,field,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,Wickets,6.0,,Lucknow Super Giants,,,E Lewis,RJ Tucker,VK Sharma,J Srinath,['NA Patwardhan'],['YC Barde']
4,2019-04-22,Indian Premier League,2019,club,male,T20,20,6,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,Sawai Mansingh Stadium,Jaipur,Wickets,6.0,,Delhi Capitals,,,RR Pant,A Nand Kishore,S Ravi,M Nayyar,['K Srinath'],['YC Barde']
15,2014-04-26,Indian Premier League,2014,club,male,T20,20,6,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,Runs,,23.0,Kings XI Punjab,,,Sandeep Sharma,HDPK Dharmasena,RK Illingworth,AJ Pycroft,['K Srinath'],['C Shamshuddin']
7,2019-03-28,Indian Premier League,2019,club,male,T20,20,6,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,Runs,,6.0,Mumbai Indians,,,JJ Bumrah,CK Nandan,S Ravi,M Nayyar,['BK Ravi'],['YC Barde']
1,2017-04-05,Indian Premier League,2017,club,male,T20,20,6,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Runs,,35.0,Sunrisers Hyderabad,,,Yuvraj Singh,AY Dandekar,NJ Llong,J Srinath,['N Pandit'],['A Deshmukh']
7,2022-05-22,Indian Premier League,2022,club,male,T20,20,6,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Wickets,5.0,,Punjab Kings,,,Harpreet Brar,AK Chaudhary,NA Patwardhan,J Srinath,['Navdeep Singh'],['CB Gaffaney']
11,2013-04-10,Indian Premier League,2013,club,male,T20,20,6,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Wickets,10.0,,Chennai Super Kings,,,MEK Hussey,Aleem Dar,C Shamshuddin,AJ Pycroft,['Nitin Menon'],['S Das']
54,2020-11-01,Indian Premier League,2020/21,club,male,T20,20,6,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,Dubai International Cricket Stadium,,Runs,,60.0,Kolkata Knight Riders,,,PJ Cummins,Nitin Menon,PR Reiffel,Shakti Singh,['YC Barde'],['AK Chaudhary']
23,2018-04-24,Indian Premier League,2018,club,male,T20,20,6,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,Mumbai,Runs,,31.0,Sunrisers Hyderabad,,,Rashid Khan,C Shamshuddin,S Ravi,V Narayan Kutty,['K Srinath'],['A Deshmukh']
2,2015-04-22,Indian Premier League,2015,club,male,T20,20,6,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Runs,,27.0,Chennai Super Kings,,,SK Raina,JD Cloete,C Shamshuddin,J Srinath,['VK Sharma'],['PG Pathak']
38,2011-05-01,Indian Premier League,2011,club,male,T20,20,6,Rajasthan Royals,Pune Warriors,field,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Wickets,6.0,,Rajasthan Royals,,,LRPL Taylor,SK Tarapore,SJA Taufel,D Govindjee,['R Subramanian'],['S Ravi']
32,2010-04-03,Indian Premier League,2009/10,club,male,T20,20,6,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,Runs,,23.0,Chennai Super Kings,,,M Vijay,RE Koertzen,RB Tiffin,AJ Pycroft,['J Madanagopal'],['BG Jerling']
